型号,系列,网址,图片,价格,状态,CPU跑分,CPU型号,CPU系列,CPU主频,最高睿频,核心/线程数,三级缓存,总线规格,核心架构,制程工艺,功耗,内存容量,内存类型,插槽数量,硬盘容量,硬盘描述,显卡跑分,显卡类型,显卡芯片,显存容量,显存类型,显存位宽,外壳材质,可选配件,网络通信,电池类型,基本参数,厚度,屏幕技术,无线网卡,扬声器,屏幕分辨率,上市时间,宽度,工作温度,其它特点,产品类型,数据接口,长度,笔记本重量,安全性能,客服电话,电话备注,人脸识别,电源适配器,质保备注,音频系统,光驱类型,笔记本附件,存储温度,有线网卡,主板芯片组,显卡,产品定位,操作系统,电源描述,质保时间,外壳描述,处理器,输入设备,指取设备,保修政策,包装清单,外观,附带软件,保修信息,读卡器,显示比例,音频接口,工作湿度,蓝牙,指纹识别,环境要求,麦克风,变形方式,其他,扩展插槽,摄像头,存储设备,详细内容,屏幕尺寸,商用技术,最大内存容量,续航时间,视频接口,特色功能,显示屏,多媒体设备,触控屏,I/O接口,键盘描述,其它接口
镭波Firebat-F760X,Firebat-F760系列,http://detail.zol.com.cn/notebook/index378084.shtml,https://2e.zol-img.com.cn/product/132_80x60/926/ceWv1qjbPiPIE.jpg,1.8万,[停产],9069,Intel 酷睿i7 4900MQ,英特尔 酷睿i7 4代系列,2.8GHz,3.8GHz,四核心/八线程,8MB,DMI 5 GT/s,Haswell,22nm,47W,16GB（8GB×2）,DDR3L（低电压版）1600MHz,4xSO-DIMM,120GB+1TB,混合硬盘（SSD+7200转HDD）,3625,双显卡（发烧级独立显卡＋集成显卡）,NVIDIA GeForce GTX 880M＋Intel GMA HD 4600,8GB,GDDR5,256bit,复合材质,NULL,NULL,9芯锂电池，7800毫安,NULL,55mm,FHD背光,支持802.11b/g/n无线协议，Killer e2200+Killer Wireless-N 1202,丹麦音响,1920x1080,2014年04月,288mm,NULL,NULL,家用,2×USB2.0+3×USB3.0,428mm,3.9Kg,安全锁孔,400-680-8882,NULL,NULL,NULL,整机1年,内置音效芯片,内置DVD刻录机,NULL,NULL,1000Mbps以太网卡,Intel HM87,NULL,游戏本，影音娱乐本,预装Windows 8.1 Pro（简体中文旗舰测试版）,NULL,1年,黑色,NULL,NULL,触摸板,全国联保，享受三包服务,笔记本主机 x1电池 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1  驱动光盘 x1鼠标垫 x1屏幕清洁布 x1,NULL,附带软件,NULL,多合1读卡器,16:9,耳机输出接口，麦克风输入接口，线性输入、输出接口,NULL,支持，蓝牙4.0模块,NULL,NULL,内置麦克风,NULL,NULL,NULL,720p HD摄像头,NULL,凡正常使用情况下由于产品本身质量问题引起的故障，在保修期内，镭波RABOOK（以下简称RA）将负责给予有限保修。产品出现故障，请与RA售后支持热线联系。RA公司在全国各省会城市、地方重点城市均设有服务点，将为用户提供高效、优质的服务。产品的保修期以RA公司在中国发售该产品时，客户购买的日期起计算，具体每台机器的保修信息以系统记录为准。进入官网>>,17.3英寸,NULL,32GB,视具体使用环境而定,VGA，HDMI，Mini DisplayPort,NULL,NULL,NULL,不支持触控,NULL,102键位蓝色背光键盘，巧克力键盘，全尺寸键盘,RJ45（网络接口），电源接口
镭波Firebat-F760PX,Firebat-F760系列,http://detail.zol.com.cn/notebook/index395166.shtml,https://2f.zol-img.com.cn/product/147_80x60/933/ceaTz9jZrPc.jpg,1.8万,[停产],9459,Intel 酷睿i7 4910MQ,英特尔 酷睿i7 4代系列,2.9GHz,3.9GHz,四核心/八线程,8MB,DMI 5 GT/s,Haswell,22nm,47W,16GB（8GB×2）,DDR3 1600MHz,4xSO-DIMM,360GB+1TB,混合硬盘（3×120GB SSD+HDD）,5787,双显卡（发烧级独立显卡＋集成显卡）,NVIDIA GeForce GTX 980M＋Intel GMA HD 4600,8GB,GDDR5,256bit,复合材质,NULL,NULL,9芯锂电池，7800毫安,NULL,55mm,FHD，LED背光，Anti-Glare防眩光技术,支持802.11b/g/n无线协议，Killer e2200+Killer Wireless-N 1202,立体声扬声器,1920x1080,2015年01月,288mm,NULL,NULL,家用,2×USB2.0+3×USB3.0,428mm,3.9Kg,安全锁孔,400-680-8882,NULL,NULL,NULL,整机1年,内置音效芯片,内置DVD刻录机,NULL,NULL,内建Killer E2200 千兆带宽网卡,Intel HM87,NULL,游戏本，影音娱乐本,预装Windows 8.1 Pro X64（测试版）,NULL,1年,黑色,NULL,NULL,触摸板,全国联保，享受三包服务,笔记本主机 x1电池 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1  驱动光盘 x1鼠标垫 x1屏幕清洁布 x1,NULL,附带软件,NULL,2合1读卡器（SD，SDHC）,16:9,耳机输出接口，麦克风输入接口，线性输入、输出接口,NULL,支持，蓝牙4.0模块,NULL,NULL,内置麦克风,NULL,NULL,NULL,720p HD摄像头,NULL,凡正常使用情况下由于产品本身质量问题引起的故障，在保修期内，镭波RABOOK（以下简称RA）将负责给予有限保修。产品出现故障，请与RA售后支持热线联系。RA公司在全国各省会城市、地方重点城市均设有服务点，将为用户提供高效、优质的服务。产品的保修期以RA公司在中国发售该产品时，客户购买的日期起计算，具体每台机器的保修信息以系统记录为准。进入官网>>,17.3英寸,NULL,32GB,3-4小时，视具体使用环境而定,VGA，HDMI，Mini DisplayPort,NULL,NULL,NULL,不支持触控,NULL,103键位全尺寸键盘，巧克力键盘，背光键盘,RJ45（网络接口），电源接口
镭波Firebat-F760S1,Firebat-F760系列,http://detail.zol.com.cn/notebook/index405199.shtml,https://2e.zol-img.com.cn/product/157_80x60/836/ceczqRn9ekzp6.jpg,6999,[无货],7988,Intel 酷睿i7 4710MQ,英特尔 酷睿i7 4代系列,2.5GHz,3.5GHz,四核心/八线程,6MB,DMI 5 GT/s,Haswell,22nm,47W,4GB（4GB×1）,DDR3 1600MHz,4xSO-DIMM,1TB,7200转,3963,双显卡（发烧级独立显卡＋集成显卡）,NVIDIA GeForce GTX 970M＋Intel GMA HD 4600,3GB,GDDR5,192bit,复合材质,NULL,NULL,9芯锂电池，7800毫安,NULL,55mm,FHD，LED背光，Anti-Glare防眩光技术,支持802.11b/g/n无线协议，Killer e2200+Killer Wireless-N 1202,立体声扬声器,1920x1080,2015年07月,288mm,NULL,NULL,家用,2×USB2.0+3×USB3.0,428mm,3.9Kg,安全锁孔,400-680-8882,NULL,NULL,NULL,整机1年,内置音效芯片,内置DVD刻录机,NULL,NULL,内建Killer E2200 千兆带宽网卡,Intel HM87,NULL,游戏本，影音娱乐本,预装Windows 8.1 Pro X64（测试版）,NULL,1年,黑色,NULL,NULL,触摸板,全国联保，享受三包服务,笔记本主机 x1电池 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1  驱动光盘 x1鼠标垫 x1屏幕清洁布 x1,NULL,附带软件,NULL,2合1读卡器（SD，SDHC）,16:9,耳机输出接口，麦克风输入接口，线性输入、输出接口,NULL,支持，蓝牙4.0模块,NULL,NULL,内置麦克风,NULL,NULL,NULL,720p HD摄像头,NULL,凡正常使用情况下由于产品本身质量问题引起的故障，在保修期内，镭波RABOOK（以下简称RA）将负责给予有限保修。产品出现故障，请与RA售后支持热线联系。RA公司在全国各省会城市、地方重点城市均设有服务点，将为用户提供高效、优质的服务。产品的保修期以RA公司在中国发售该产品时，客户购买的日期起计算，具体每台机器的保修信息以系统记录为准。进入官网>>,17.3英寸,NULL,32GB,3-4小时，视具体使用环境而定,VGA，HDMI，Mini DisplayPort,NULL,NULL,NULL,不支持触控,NULL,103键位全尺寸键盘，巧克力键盘，背光键盘,RJ45（网络接口），电源接口
镭波Firebat-F660s（i7 4710MQ/GTX870M）,Firebat-F660系列,http://detail.zol.com.cn/notebook/index383371.shtml,https://2a.zol-img.com.cn/product/136_80x60/968/ce6jECDhkV5g.jpg,7999,[停产],7988,Intel 酷睿i7 4710MQ,英特尔 酷睿i7 4代系列,2.5GHz,3.5GHz,四核心/八线程,6MB,DMI 5 GT/s,Haswell,22nm,47W,4GB（4GB×1）,DDR3 1600MHz,4xSO-DIMM,500GB,7200转,2347,双显卡（发烧级独立显卡＋集成显卡）,NVIDIA GeForce GTX 870M＋Intel GMA HD 4600,3GB,GDDR5,192bit,复合材质,NULL,NULL,9芯锂电池，7800毫安,NULL,55mm,FHD背光，LPS广视角高亮艳丽显示屏,Bigfoot Killer N1202无线网卡,丹麦音响,1920x1080,2014年06月,268mm,NULL,NULL,家用,1×USB2.0+3×USB3.0,396mm,3.5Kg,安全锁孔,400-680-8882,NULL,NULL,100V-240V 180W 自适应交流电源适配器,整机1年,三维立体声音响系统，重低音炮，Sound Blaster Cinema音效,内置DVD刻录机,NULL,NULL,1000Mbps以太网卡,Intel HM87,NULL,游戏本，影音娱乐本,预装Windows 8.1 Pro（简体中文旗舰测试版）,NULL,1年,黑色,NULL,NULL,触摸板（双击+滚动功）,全国联保，享受三包服务,笔记本主机 x1电池 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1  驱动光盘 x1鼠标垫 x1屏幕清洁布 x1,NULL,附带软件,NULL,4合1读卡器（SDXC，SD3.0）,16:9,耳机输出接口，麦克风输入接口，线性输入、输出接口,NULL,支持，蓝牙4.0模块,NULL,NULL,内置麦克风,NULL,NULL,NULL,集成300万像素摄像头,NULL,凡正常使用情况下由于产品本身质量问题引起的故障，在保修期内，镭波RABOOK（以下简称RA）将负责给予有限保修。产品出现故障，请与RA售后支持热线联系。RA公司在全国各省会城市、地方重点城市均设有服务点，将为用户提供高效、优质的服务。产品的保修期以RA公司在中国发售该产品时，客户购买的日期起计算，具体每台机器的保修信息以系统记录为准。进入官网>>,15.6英寸,NULL,32GB,3-4小时，视具体使用环境而定,HDMI，2×Mini DisplayPort,NULL,NULL,NULL,不支持触控,NULL,背光键盘，102键位全尺寸键盘,RJ45（网络接口），电源接口
镭波Firebat-F660（i7 4930MX/GTX870M）,Firebat-F660系列,http://detail.zol.com.cn/notebook/index375027.shtml,https://2b.zol-img.com.cn/product/130_80x60/831/ceNupVGq5RMHA.jpg,2.25万,[停产],9514,Intel 酷睿i7 4930MX,英特尔 酷睿i7 4代系列,3GHz,3.9GHz,四核心/八线程,8MB,DMI 5 GT/s,Haswell,22nm,57W,32GB（8GB×4）,DDR3 1600MHz,4xSO-DIMM,750GB+1TB,混合硬盘（3×250GB SSD+5400转HDD）,2347,双显卡（发烧级独立显卡＋集成显卡）,NVIDIA GeForce GTX 870M＋Intel GMA HD 4600,3GB,GDDR5,192bit,复合材质,NULL,NULL,9芯锂电池，7800毫安,NULL,45mm,FHD背光，LPS广视角高亮艳丽显示屏,Bigfoot Killer N1202无线网卡,丹麦音响,1920x1080,2014年03月,278mm,NULL,NULL,家用,1×USB2.0+3×USB3.0,396mm,3.5Kg,安全锁孔,400-680-8882,NULL,NULL,100V-240V 180W 自适应交流电源适配器,整机1年,三维立体声音响系统，重低音炮，Sound Blaster Cinema音效,内置蓝光光驱,NULL,NULL,1000Mbps以太网卡,Intel HM87,NULL,游戏本，影音娱乐本,预装Windows 8.1 Pro（简体中文旗舰测试版）,NULL,1年,黑色,NULL,NULL,触摸板（双击+滚动功）,全国联保，享受三包服务,笔记本主机 x1电池 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1  驱动光盘 x1鼠标垫 x1屏幕清洁布 x1,NULL,附带软件,NULL,多合1读卡器（SDXC，SD3.0）,16:9,耳机输出接口，麦克风输入接口，线性输入、输出接口,NULL,支持，蓝牙4.0模块,NULL,NULL,内置麦克风,NULL,NULL,NULL,集成300万像素摄像头,NULL,凡正常使用情况下由于产品本身质量问题引起的故障，在保修期内，镭波RABOOK（以下简称RA）将负责给予有限保修。产品出现故障，请与RA售后支持热线联系。RA公司在全国各省会城市、地方重点城市均设有服务点，将为用户提供高效、优质的服务。产品的保修期以RA公司在中国发售该产品时，客户购买的日期起计算，具体每台机器的保修信息以系统记录为准。进入官网>>,15.6英寸,NULL,32GB,3-5小时，视具体使用环境而定,HDMI，2×Mini DisplayPort,NULL,NULL,NULL,不支持触控,NULL,背光键盘，102键位全尺寸键盘,RJ45（网络接口），电源接口
镭波Firebat-F660P,Firebat-F660系列,http://detail.zol.com.cn/notebook/index395044.shtml,https://2a.zol-img.com.cn/product/147_80x60/816/ceCo3ualtANo.jpg,8399,[无货],7988,Intel 酷睿i7 4710MQ,英特尔 酷睿i7 4代系列,2.5GHz,3.5GHz,四核心/八线程,6MB,DMI 5 GT/s,Haswell,22nm,47W,8GB（8GB×1）,DDR3 1600MHz,4xSO-DIMM,1TB,7200转,3963,双显卡（发烧级独立显卡＋集成显卡）,NVIDIA GeForce GTX 970M＋Intel GMA HD 4600,3GB,GDDR5,192bit,复合材质,NULL,NULL,9芯锂电池，7800毫安,NULL,55mm,FHD，LED背光，LPS广视角屏,Intel 7260 AC，支持802.11b/g/n/ac无线协议，支持双频（2.4GHz+5GHz）,立体声扬声器,1920x1080,2015年01月,268mm,NULL,NULL,家用,1×USB2.0+3×USB3.0,396mm,3.5Kg,安全锁孔,400-680-8882,NULL,NULL,NULL,整机1年,内置音效芯片,内置DVD刻录机,NULL,NULL,内建Killer E2200 千兆带宽网卡,Intel HM87,NULL,游戏本，影音娱乐本,预装Windows 8 Professional edition 64bit（64位专业测试版）,NULL,1年,黑色,NULL,NULL,触摸板,全国联保，享受三包服务,笔记本主机 x1电池 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1  驱动光盘 x1鼠标垫 x1屏幕清洁布 x1,NULL,附带软件,NULL,2合1读卡器（SD，SDHC）,16:9,耳机输出接口，麦克风输入接口，线性输入、输出接口,NULL,支持，蓝牙4.0模块,NULL,NULL,内置麦克风,NULL,NULL,NULL,720p HD摄像头,NULL,凡正常使用情况下由于产品本身质量问题引起的故障，在保修期内，镭波RABOOK（以下简称RA）将负责给予有限保修。产品出现故障，请与RA售后支持热线联系。RA公司在全国各省会城市、地方重点城市均设有服务点，将为用户提供高效、优质的服务。产品的保修期以RA公司在中国发售该产品时，客户购买的日期起计算，具体每台机器的保修信息以系统记录为准。进入官网>>,15.6英寸,NULL,32GB,3-4小时，视具体使用环境而定,HDMI，2×Mini DisplayPort,NULL,NULL,NULL,不支持触控,NULL,背光键盘，103键位全尺寸键盘,RJ45（网络接口），电源接口
镭波Firebat-F660（i7 4700MQ/GTX870M）,Firebat-F660系列,http://detail.zol.com.cn/notebook/index375021.shtml,https://2c.zol-img.com.cn/product/130_80x60/832/ces09B3BsiWcw.jpg,8999,[停产],7699,Intel 酷睿i7 4700MQ,英特尔 酷睿i7 4代系列,2.4GHz,3.4GHz,四核心/八线程,6MB,DMI 5 GT/s,Haswell,22nm,47W,8GB（4GB×2）,DDR3 1600MHz,4xSO-DIMM,500GB,7200转,2347,双显卡（发烧级独立显卡＋集成显卡）,NVIDIA GeForce GTX 870M＋Intel GMA HD 4600,3GB,GDDR5,192bit,复合材质,NULL,NULL,9芯锂电池，7800毫安,NULL,45mm,FHD背光，LPS广视角高亮艳丽显示屏,Bigfoot Killer N1202无线网卡,丹麦音响,1920x1080,2014年03月,278mm,NULL,NULL,家用,1×USB2.0+3×USB3.0,396mm,3.5Kg,安全锁孔,400-680-8882,NULL,NULL,100V-240V 180W 自适应交流电源适配器,整机1年,三维立体声音响系统，重低音炮，Sound Blaster Cinema音效,内置DVD刻录机,NULL,NULL,1000Mbps以太网卡,Intel HM87,NULL,游戏本，影音娱乐本,预装Windows 8.1 Pro（简体中文旗舰测试版）,NULL,1年,黑色,NULL,NULL,触摸板（双击+滚动功）,全国联保，享受三包服务,笔记本主机 x1电池 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1  驱动光盘 x1鼠标垫 x1屏幕清洁布 x1,NULL,附带软件,NULL,多合1读卡器（SDXC，SD3.0）,16:9,耳机输出接口，麦克风输入接口，线性输入、输出接口,NULL,支持，蓝牙4.0模块,NULL,NULL,内置麦克风,NULL,NULL,NULL,集成300万像素摄像头,NULL,凡正常使用情况下由于产品本身质量问题引起的故障，在保修期内，镭波RABOOK（以下简称RA）将负责给予有限保修。产品出现故障，请与RA售后支持热线联系。RA公司在全国各省会城市、地方重点城市均设有服务点，将为用户提供高效、优质的服务。产品的保修期以RA公司在中国发售该产品时，客户购买的日期起计算，具体每台机器的保修信息以系统记录为准。进入官网>>,15.6英寸,NULL,32GB,3-5小时，视具体使用环境而定,HDMI，2×Mini DisplayPort,NULL,NULL,NULL,不支持触控,NULL,背光键盘，102键位全尺寸键盘,RJ45（网络接口），电源接口
镭波Firebat-F660D,Firebat-F660系列,http://detail.zol.com.cn/notebook/index402570.shtml,https://2a.zol-img.com.cn/product/153_80x60/460/ce0JSEk2awcY.jpg,7999,[无货],7988,Intel 酷睿i7 4710MQ,英特尔 酷睿i7 4代系列,2.5GHz,3.5GHz,四核心/八线程,6MB,DMI 5 GT/s,Haswell,22nm,47W,8GB（8GB×1）,DDR3 1600MHz,4xSO-DIMM,120GB+1TB,混合硬盘（SSD+7200转HDD）,3963,双显卡（发烧级独立显卡＋集成显卡）,NVIDIA GeForce GTX 970M＋Intel GMA HD 4600,3GB,GDDR5,192bit,复合材质,NULL,NULL,9芯锂电池，7800毫安,NULL,55mm,FHD，LED背光，PLS广视角屏,Intel 7260 AC，支持802.11b/g/n/ac无线协议，支持双频（2.4GHz+5GHz）,立体声扬声器,1920x1080,2015年06月,268mm,NULL,NULL,家用,1×USB2.0+3×USB3.0,396mm,3.5Kg,安全锁孔,400-680-8882,NULL,NULL,NULL,整机1年,内置音效芯片,内置DVD刻录机,NULL,NULL,内建Killer E2200 千兆带宽网卡,Intel HM87,NULL,游戏本，影音娱乐本,预装Windows 8 Professional edition 64bit（64位专业测试版）,NULL,1年,黑色,NULL,NULL,触摸板,全国联保，享受三包服务,笔记本主机 x1电池 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1  驱动光盘 x1鼠标垫 x1屏幕清洁布 x1,NULL,附带软件,NULL,2合1读卡器（SD，SDHC）,16:9,耳机输出接口，麦克风输入接口，线性输入、输出接口,NULL,支持，蓝牙4.0模块,NULL,NULL,内置麦克风,NULL,NULL,NULL,720p HD摄像头,NULL,凡正常使用情况下由于产品本身质量问题引起的故障，在保修期内，镭波RABOOK（以下简称RA）将负责给予有限保修。产品出现故障，请与RA售后支持热线联系。RA公司在全国各省会城市、地方重点城市均设有服务点，将为用户提供高效、优质的服务。产品的保修期以RA公司在中国发售该产品时，客户购买的日期起计算，具体每台机器的保修信息以系统记录为准。进入官网>>,15.6英寸,NULL,32GB,3-4小时，视具体使用环境而定,HDMI，2×Mini DisplayPort,NULL,NULL,NULL,不支持触控,NULL,背光键盘，103键位全尺寸键盘,RJ45（网络接口），电源接口
镭波Firebat-F660s（i7 4710MQ/GTX870M/SSD）,Firebat-F660系列,http://detail.zol.com.cn/notebook/index383372.shtml,https://2c.zol-img.com.cn/product/136_80x60/970/cem2kmtV7minQ.jpg,1.52万,[停产],7988,Intel 酷睿i7 4710MQ,英特尔 酷睿i7 4代系列,2.5GHz,3.5GHz,四核心/八线程,6MB,DMI 5 GT/s,Haswell,22nm,47W,16GB（8GB×2）,DDR3 1600MHz,4xSO-DIMM,750GB+1.5TB,混合硬盘（3×250GB SSD+5400转HDD）,2347,双显卡（发烧级独立显卡＋集成显卡）,NVIDIA GeForce GTX 870M＋Intel GMA HD 4600,3GB,GDDR5,192bit,复合材质,NULL,NULL,9芯锂电池，7800毫安,NULL,55mm,FHD背光，LPS广视角高亮艳丽显示屏,Bigfoot Killer N1202无线网卡,丹麦音响,1920x1080,2014年06月,268mm,NULL,NULL,家用,1×USB2.0+3×USB3.0,396mm,3.5Kg,安全锁孔,400-680-8882,NULL,NULL,100V-240V 180W 自适应交流电源适配器,整机1年,三维立体声音响系统，重低音炮，Sound Blaster Cinema音效,内置蓝光光驱,NULL,NULL,1000Mbps以太网卡,Intel HM87,NULL,游戏本，影音娱乐本,预装Windows 8.1 Pro（简体中文旗舰测试版）,NULL,1年,黑色,NULL,NULL,触摸板（双击+滚动功）,全国联保，享受三包服务,笔记本主机 x1电池 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1  驱动光盘 x1鼠标垫 x1屏幕清洁布 x1,NULL,附带软件,NULL,4合1读卡器（SDXC，SD3.0）,16:9,耳机输出接口，麦克风输入接口，线性输入、输出接口,NULL,支持，蓝牙4.0模块,NULL,NULL,内置麦克风,NULL,NULL,NULL,集成300万像素摄像头,NULL,凡正常使用情况下由于产品本身质量问题引起的故障，在保修期内，镭波RABOOK（以下简称RA）将负责给予有限保修。产品出现故障，请与RA售后支持热线联系。RA公司在全国各省会城市、地方重点城市均设有服务点，将为用户提供高效、优质的服务。产品的保修期以RA公司在中国发售该产品时，客户购买的日期起计算，具体每台机器的保修信息以系统记录为准。进入官网>>,15.6英寸,NULL,32GB,3-4小时，视具体使用环境而定,HDMI，2×Mini DisplayPort,NULL,NULL,NULL,不支持触控,NULL,背光键盘，102键位全尺寸键盘,RJ45（网络接口），电源接口
镭波Firebat-F760S2,Firebat-F760系列,http://detail.zol.com.cn/notebook/index1142673.shtml,https://2b.zol-img.com.cn/product/172_80x60/851/ceoV1PD4SjqfU.jpg,6499,正常,7988,Intel 酷睿i7 4710MQ,英特尔 酷睿i7 4代系列,2.5GHz,3.5GHz,四核心/八线程,6MB,DMI 5 GT/s,Haswell,22nm,47W,8GB（4GB×2）,DDR3L（低电压版）1600MHz,4xSO-DIMM,1TB,7200转,3963,双显卡（发烧级独立显卡＋集成显卡）,NVIDIA GeForce GTX 970M＋Intel GMA HD 4600,3GB,GDDR5,192bit,复合材质,NULL,NULL,9芯锂电池,NULL,55mm,FHD，LED背光，Anti-Glare防眩光技术,Intel 7260 AC，支持802.11ac无线协议，支持双频（2.4GHz+5GHz）,立体声扬声器,1920x1080,2016年04月,288mm,NULL,NULL,家用,2×USB2.0+3×USB3.0,428mm,3.9Kg,安全锁孔,400-680-8882,NULL,NULL,100V-240V 自适应交流电源适配器,整机1年,内置音效芯片,内置DVD刻录机,NULL,NULL,1000Mbps以太网卡,Intel HM87,NULL,游戏本，影音娱乐本,预装Windows 8.1 Pro X64（测试版）,NULL,1年,黑色,NULL,NULL,触摸板,全国联保，享受三包服务,笔记本主机 x1电池 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1  驱动光盘 x1鼠标垫 x1屏幕清洁布 x1,NULL,附带软件,NULL,2合1读卡器（SD，SDHC）,16:9,耳机输出接口，麦克风输入接口，线性输入、输出接口,NULL,支持，蓝牙4.0模块,NULL,NULL,内置麦克风,NULL,NULL,NULL,720p HD摄像头,NULL,凡正常使用情况下由于产品本身质量问题引起的故障，在保修期内，镭波RABOOK（以下简称RA）将负责给予有限保修。产品出现故障，请与RA售后支持热线联系。RA公司在全国各省会城市、地方重点城市均设有服务点，将为用户提供高效、优质的服务。产品的保修期以RA公司在中国发售该产品时，客户购买的日期起计算，具体每台机器的保修信息以系统记录为准。进入官网>>,17.3英寸,NULL,32GB,3-4小时，视具体使用环境而定,VGA，HDMI，Mini DisplayPort,NULL,NULL,NULL,不支持触控,NULL,103键位全尺寸键盘，巧克力键盘，背光键盘,RJ45（网络接口），电源接口
镭波Firebat-F760A,Firebat-F760系列,http://detail.zol.com.cn/notebook/index395164.shtml,https://2e.zol-img.com.cn/product/147_80x60/836/ceTTkvT3K42zo.jpg,6999,[停产],7988,Intel 酷睿i7 4710MQ,英特尔 酷睿i7 4代系列,2.5GHz,3.5GHz,四核心/八线程,6MB,DMI 5 GT/s,Haswell,22nm,47W,8GB（8GB×1）,DDR3 1600MHz,4xSO-DIMM,1TB,7200转,4248,双显卡（发烧级独立显卡＋集成显卡）,AMD Radeon R9 M290X＋Intel GMA HD 4600,2GB,GDDR5,256bit,复合材质,NULL,NULL,9芯锂电池，7800毫安,NULL,55mm,FHD背光，Anti-Glare防眩光技术,支持802.11b/g/n无线协议，Killer e2200+Killer Wireless-N 1202,立体声扬声器,1920x1080,2014年12月,288mm,NULL,NULL,家用,2×USB2.0+3×USB3.0,428mm,3.9Kg,安全锁孔,400-680-8882,NULL,NULL,NULL,整机1年,内置音效芯片,内置DVD刻录机,NULL,NULL,内建Killer E2200 千兆带宽网卡,Intel HM87,NULL,游戏本，影音娱乐本,预装Windows 8.1 Pro X64（测试版）,NULL,1年,黑色,NULL,NULL,触摸板,全国联保，享受三包服务,笔记本主机 x1电池 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1  驱动光盘 x1鼠标垫 x1屏幕清洁布 x1,NULL,附带软件,NULL,2合1读卡器（SD，SDHC）,16:9,耳机输出接口，麦克风输入接口，线性输入、输出接口,NULL,支持，蓝牙4.0模块,NULL,NULL,内置麦克风,NULL,NULL,NULL,720p HD摄像头,NULL,凡正常使用情况下由于产品本身质量问题引起的故障，在保修期内，镭波RABOOK（以下简称RA）将负责给予有限保修。产品出现故障，请与RA售后支持热线联系。RA公司在全国各省会城市、地方重点城市均设有服务点，将为用户提供高效、优质的服务。产品的保修期以RA公司在中国发售该产品时，客户购买的日期起计算，具体每台机器的保修信息以系统记录为准。进入官网>>,17.3英寸,NULL,32GB,3-4小时，视具体使用环境而定,VGA，HDMI，Mini DisplayPort,NULL,NULL,NULL,不支持触控,NULL,103键位全尺寸键盘，巧克力键盘，背光键盘,RJ45（网络接口），电源接口
镭波Firebat-F760,Firebat-F760系列,http://detail.zol.com.cn/notebook/index378078.shtml,https://2b.zol-img.com.cn/product/132_80x60/767/cewI97NIrrYcY.jpg,7999,[停产],7699,Intel 酷睿i7 4700MQ,英特尔 酷睿i7 4代系列,2.4GHz,3.4GHz,四核心/八线程,6MB,DMI 5 GT/s,Haswell,22nm,47W,8GB（4GB×2）,DDR3 1600MHz,4xSO-DIMM,500GB,7200转,2347,双显卡（发烧级独立显卡＋集成显卡）,NVIDIA GeForce GTX 870M＋Intel GMA HD 4600,3GB,GDDR5,192bit,复合材质,NULL,NULL,9芯锂电池，7800毫安,NULL,55mm,FHD背光,支持802.11b/g/n无线协议，Killer e2200+Killer Wireless-N 1202,丹麦音响,1920x1080,2014年04月,288mm,NULL,NULL,家用,2×USB2.0+3×USB3.0,428mm,3.9Kg,安全锁孔,400-680-8882,NULL,NULL,NULL,整机1年,内置音效芯片,内置DVD刻录机,NULL,NULL,1000Mbps以太网卡,Intel HM87,NULL,游戏本，影音娱乐本,预装Windows 8.1 Pro（简体中文旗舰测试版）,NULL,1年,黑色,NULL,NULL,触摸板,全国联保，享受三包服务,笔记本主机 x1电池 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1  驱动光盘 x1鼠标垫 x1屏幕清洁布 x1,NULL,附带软件,NULL,多合1读卡器,16:9,耳机输出接口，麦克风输入接口，线性输入、输出接口,NULL,支持，蓝牙4.0模块,NULL,NULL,内置麦克风,NULL,NULL,NULL,720p HD摄像头,NULL,凡正常使用情况下由于产品本身质量问题引起的故障，在保修期内，镭波RABOOK（以下简称RA）将负责给予有限保修。产品出现故障，请与RA售后支持热线联系。RA公司在全国各省会城市、地方重点城市均设有服务点，将为用户提供高效、优质的服务。产品的保修期以RA公司在中国发售该产品时，客户购买的日期起计算，具体每台机器的保修信息以系统记录为准。进入官网>>,17.3英寸,NULL,32GB,视具体使用环境而定,VGA，HDMI，Mini DisplayPort,NULL,NULL,NULL,不支持触控,NULL,102键位蓝色背光键盘，巧克力键盘，全尺寸键盘,RJ45（网络接口），电源接口
