型号,系列,网址,图片,价格,状态,CPU跑分,CPU型号,CPU系列,CPU主频,最高睿频,核心/线程数,三级缓存,总线规格,核心架构,制程工艺,功耗,内存容量,内存类型,插槽数量,硬盘容量,硬盘描述,显卡跑分,显卡类型,显卡芯片,显存容量,显存类型,显存位宽,外壳材质,可选配件,网络通信,电池类型,基本参数,厚度,屏幕技术,无线网卡,扬声器,屏幕分辨率,上市时间,宽度,工作温度,其它特点,产品类型,数据接口,长度,笔记本重量,安全性能,客服电话,电话备注,人脸识别,电源适配器,质保备注,音频系统,光驱类型,笔记本附件,存储温度,有线网卡,主板芯片组,显卡,产品定位,操作系统,电源描述,质保时间,外壳描述,处理器,输入设备,指取设备,保修政策,包装清单,外观,附带软件,保修信息,读卡器,显示比例,音频接口,工作湿度,蓝牙,指纹识别,环境要求,麦克风,变形方式,其他,扩展插槽,摄像头,存储设备,详细内容,屏幕尺寸,商用技术,最大内存容量,续航时间,视频接口,特色功能,显示屏,多媒体设备,触控屏,I/O接口,键盘描述,其它接口
机械师风神M411-i7 D1（风神高配版）,M411系列,http://detail.zol.com.cn/notebook/index402155.shtml,https://2f.zol-img.com.cn/product/153_80x60/723/ceZk3r5NaGCwE.jpg,暂无报价,[北京],7988,Intel 酷睿i7 4710MQ,英特尔 酷睿i7 4代系列,2.5GHz,3.5GHz,四核心/八线程,6MB,DMI 5 GT/s,Haswell,22nm,47W,4GB（4GB×1）,DDR3L（低电压版）1600MHz,2xSO-DIMM,1TB,5400转,1764,性能级独立显卡,NVIDIA GeForce GTX 950M,2GB,GDDR5,128bit,复合材质,NULL,NULL,6芯锂电池，5200毫安,NULL,32.6mm,FHD，LED背光，高清炫彩屏,Intel 3160 AC,2×2W立体声音响，2W低音炮,1920x1080,NULL,240mm,NULL,NULL,家用,2×USB2.0+2×USB3.0，,344mm,2.05Kg,安全锁孔,400-699-9999,7*24小时,NULL,100V-240V 120W 自适应交流电源适配器,整机免费保修1年，主要部分保修2年,内置音效芯片,无内置光驱,NULL,NULL,1000Mbps以太网卡,Intel HM87,NULL,游戏本，影音娱乐本,DOS,NULL,1年,黑色,NULL,NULL,触摸板,全国联保，享受三包服务,笔记本主机 x1电池 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,附带软件,NULL,4合1读卡器,16:9,耳机/麦克风二合一接口,NULL,支持，蓝牙4.0模块,NULL,NULL,内置麦克风,NULL,NULL,NULL,集成摄像头,NULL,机械师笔记本实行全国范围内联保。无论您在中华人民共和国境内（不包含港、澳、台地区）任何地方购买并使用本产品出现保修范围内的硬件故障时，请咨询机械师全国统一服务热线均可凭本产品的保修凭证、购机发票，获得就近的机械师笔记本授权服务商的维修服务。机械师笔记本电脑全线产品采用送修的服务方式。如用户需要提供上门服务，则需按照《机械师电脑有偿服务收费标准》向机械师电脑授权服务商支付相应的交通费用。进入官网>>,14英寸,NULL,16GB,视具体使用环境而定,VGA，HDMI,NULL,NULL,NULL,不支持触控,NULL,巧克力键盘,RJ45（网络接口），电源接口
机械师风神M411-i5 D1（风神低配版）,M411系列,http://detail.zol.com.cn/notebook/index402136.shtml,https://2f.zol-img.com.cn/product/153_80x60/289/ceYVzwsVvTMto.jpg,暂无报价,[北京],4185,Intel 酷睿i5 4210M,英特尔 酷睿i5 4代系列,2.6GHz,3.2GHz,双核心/四线程,3MB,DMI 5 GT/s,Haswell,22nm,37W,4GB（4GB×1）,DDR3L（低电压版）1600MHz,2xSO-DIMM,500GB,5400转,1764,性能级独立显卡,NVIDIA GeForce GTX 950M,2GB,GDDR5,128bit,复合材质,NULL,NULL,6芯锂电池，5200毫安,NULL,32.6mm,FHD，LED背光，高清炫彩屏,Intel 3160 AC,2×2W立体声音响，2W低音炮,1920x1080,NULL,240mm,NULL,NULL,家用,2×USB2.0+2×USB3.0，USB,344mm,2.05Kg,安全锁孔,400-699-9999,7*24小时,NULL,100V-240V 120W 自适应交流电源适配器,整机免费保修1年，主要部分保修2年,内置音效芯片,无内置光驱,NULL,NULL,1000Mbps以太网卡,Intel HM87,NULL,游戏本，影音娱乐本,NULL,NULL,1年,黑色,NULL,NULL,触摸板,全国联保，享受三包服务,笔记本主机 x1电池 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,附带软件,NULL,4合1读卡器,16:9,耳机/麦克风二合一接口,NULL,支持，蓝牙4.0模块,NULL,NULL,内置麦克风,NULL,NULL,NULL,集成摄像头,NULL,机械师笔记本实行全国范围内联保。无论您在中华人民共和国境内（不包含港、澳、台地区）任何地方购买并使用本产品出现保修范围内的硬件故障时，请咨询机械师全国统一服务热线均可凭本产品的保修凭证、购机发票，获得就近的机械师笔记本授权服务商的维修服务。机械师笔记本电脑全线产品采用送修的服务方式。如用户需要提供上门服务，则需按照《机械师电脑有偿服务收费标准》向机械师电脑授权服务商支付相应的交通费用。进入官网>>,14英寸,NULL,16GB,视具体使用环境而定,VGA，HDMI,NULL,NULL,NULL,不支持触控,NULL,NULL,RJ45（网络接口），电源接口
机械师F117-F1K,F117-F系列,http://detail.zol.com.cn/notebook/index1173058.shtml,https://2e.zol-img.com.cn/product/183_80x60/886/ceDpRAuecrgoA.jpg,7199,正常,8896,Intel 酷睿i7 7700HQ,英特尔 酷睿i7 7代系列,2.8GHz,3.8GHz,四核心/八线程,6MB,NULL,Kaby Lake,14nm,45W,8GB（8GB×1）,DDR4 2400MHz,2xSO-DIMM,240GB,SSD固态硬盘,5816,性能级独立显卡,NVIDIA GeForce GTX 1050 Ti,4GB,GDDR5,128bit,复合材质,NULL,NULL,6芯锂电池，4400毫安,NULL,32.7mm,FHD，LED背光，IPS雾面屏,Intel 3168 AC双频,内置双扬声器,1920x1080,2017年04月,267.3mm,NULL,NULL,家用,2×USB2.0+2×USB3.0，USB3.0 Type-C接口,387mm,2.85Kg,安全锁孔,400-699-9999,7*24小时,NULL,100V-240V 150W 自适应交流电源适配器,整机免费保修1年，主要部分保修2年,高保真音频，低音炮,无内置光驱,NULL,NULL,1000Mbps以太网卡,NULL,NULL,游戏本，影音娱乐本,DOS,NULL,1年,银色,NULL,NULL,触摸板,全国联保，享受三包服务,笔记本主机 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1至用户一封信 x1,NULL,附带软件,NULL,4合1读卡器（MMC，SD，SDHC，SDXC）,16:9,耳机输出接口，麦克风输入接口,NULL,支持，蓝牙4.0模块,NULL,NULL,内置麦克风,NULL,NULL,NULL,集成100万像素摄像头,NULL,机械师笔记本实行全国范围内联保。无论您在中华人民共和国境内（不包含港、澳、台地区）任何地方购买并使用本产品出现保修范围内的硬件故障时，请咨询机械师全国统一服务热线均可凭本产品的保修凭证、购机发票，获得就近的机械师笔记本授权服务商的维修服务。机械师笔记本电脑全线产品采用送修的服务方式。如用户需要提供上门服务，则需按照《机械师电脑有偿服务收费标准》向机械师电脑授权服务商支付相应的交通费用。进入官网>>,15.6英寸,NULL,32GB,视具体使用环境而定,HDMI,双风扇散热，A/C发光logo，定制开机键，A面3D立体成型金属，贴面印刷，RGB多彩调节,NULL,NULL,不支持触控,NULL,RGB背光键盘，全尺寸键盘,RJ45（网络接口），电源接口
机械师F117-F6K,F117-F系列,http://detail.zol.com.cn/notebook/index1169739.shtml,https://2f.zol-img.com.cn/product/182_80x60/849/cesqaByT8M0U.jpg,8199,正常,8896,Intel 酷睿i7 7700HQ,英特尔 酷睿i7 7代系列,2.8GHz,3.8GHz,四核心/八线程,6MB,NULL,Kaby Lake,14nm,45W,8GB（8GB×1）,DDR4 2400MHz,2xSO-DIMM,256GB,SSD固态硬盘,8851,发烧级独立显卡,NVIDIA GeForce GTX 1060,6GB,GDDR5,192bit,复合材质,NULL,NULL,6芯锂电池，4400毫安,NULL,32.7mm,FHD，LED背光，IPS雾面屏,Intel 3168 AC双频,内置双扬声器,1920x1080,2017年04月,267.3mm,NULL,NULL,家用,2×USB2.0+3×USB3.0，1×USB3.1 Type-C接口,387mm,2.85Kg,安全锁孔,400-699-9999,7*24小时,NULL,100V-240V 180W 自适应交流电源适配器,整机免费保修1年，主要部分保修2年,高保真音频，低音炮,无内置光驱,NULL,NULL,1000Mbps以太网卡,NULL,NULL,游戏本，影音娱乐本,DOS,NULL,1年,银色,NULL,NULL,触摸板,全国联保，享受三包服务,笔记本主机 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1至用户一封信 x1,NULL,附带软件,NULL,4合1读卡器（MMC，SD，SDHC，SDXC）,16:9,耳机输出接口，麦克风输入接口,NULL,支持，蓝牙4.0模块,NULL,NULL,内置麦克风,NULL,NULL,NULL,集成100万像素摄像头,NULL,机械师笔记本实行全国范围内联保。无论您在中华人民共和国境内（不包含港、澳、台地区）任何地方购买并使用本产品出现保修范围内的硬件故障时，请咨询机械师全国统一服务热线均可凭本产品的保修凭证、购机发票，获得就近的机械师笔记本授权服务商的维修服务。机械师笔记本电脑全线产品采用送修的服务方式。如用户需要提供上门服务，则需按照《机械师电脑有偿服务收费标准》向机械师电脑授权服务商支付相应的交通费用。进入官网>>,15.6英寸,NULL,32GB,视具体使用环境而定,HDMI，DisplayPort,双风扇散热，A/C发光logo，定制开机键，A面3D立体成型金属，贴面印刷，RGB多彩调节,NULL,NULL,不支持触控,NULL,RGB背光键盘，全尺寸键盘,RJ45（网络接口），电源接口
机械师F117-F6K加强版,F117-F系列,http://detail.zol.com.cn/notebook/index1169721.shtml,https://2c.zol-img.com.cn/product/182_80x60/646/cebYIZkk0nj.jpg,8599,正常,8896,Intel 酷睿i7 7700HQ,英特尔 酷睿i7 7代系列,2.8GHz,3.8GHz,四核心/八线程,6MB,NULL,Kaby Lake,14nm,45W,8GB（8GB×1）,DDR4 2400MHz,2xSO-DIMM,256GB+1TB,混合硬盘（SSD+HDD）,8851,发烧级独立显卡,NVIDIA GeForce GTX 1060,6GB,GDDR5,192bit,复合材质,NULL,NULL,6芯锂电池，4400毫安,NULL,32.7mm,FHD，LED背光，IPS雾面屏,Intel 3168 AC双频,内置双扬声器，低音炮,1920x1080,2017年04月,267.3mm,NULL,NULL,家用,2×USB2.0+3×USB3.0，USB3.1 Type-C接口,387mm,2.85Kg,安全锁孔,400-699-9999,7*24小时,NULL,100V-240V 180W 自适应交流电源适配器,整机免费保修1年，主要部分保修2年,高保真音频,无内置光驱,NULL,NULL,1000Mbps以太网卡,NULL,NULL,游戏本，影音娱乐本,DOS,NULL,1年,银色,NULL,NULL,触摸板,全国联保，享受三包服务,笔记本主机 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1至用户一封信 x1,NULL,附带软件,NULL,4合1读卡器（MMC，SD，SDHC，SDXC）,16:9,耳机输出接口，麦克风输入接口,NULL,支持，蓝牙4.0模块,NULL,NULL,内置麦克风,NULL,NULL,NULL,集成100万像素摄像头,NULL,机械师笔记本实行全国范围内联保。无论您在中华人民共和国境内（不包含港、澳、台地区）任何地方购买并使用本产品出现保修范围内的硬件故障时，请咨询机械师全国统一服务热线均可凭本产品的保修凭证、购机发票，获得就近的机械师笔记本授权服务商的维修服务。机械师笔记本电脑全线产品采用送修的服务方式。如用户需要提供上门服务，则需按照《机械师电脑有偿服务收费标准》向机械师电脑授权服务商支付相应的交通费用。进入官网>>,15.6英寸,NULL,32GB,视具体使用环境而定,HDMI，DisplayPort,双风扇散热，A/C发光logo，定制开机键，A面3D立体成型金属，贴面印刷，RGB多彩调节,NULL,NULL,不支持触控,NULL,RGB背光键盘，全尺寸键盘,RJ45（网络接口），电源接口
机械师F117-F2U,F117-F系列,http://detail.zol.com.cn/notebook/index1168985.shtml,https://2d.zol-img.com.cn/product/182_80x60/641/ceHGAnADQX8A.jpg,6499,正常,8896,Intel 酷睿i7 7700HQ,英特尔 酷睿i7 7代系列,2.8GHz,3.8GHz,四核心/八线程,6MB,NULL,Kaby Lake,14nm,45W,8GB（8GB×1）,DDR4 2400MHz,2xSO-DIMM,1TB,HDD,4452,性能级独立显卡,NVIDIA GeForce GTX 1050,4GB,GDDR5,128bit,复合材质,NULL,NULL,6芯锂电池，4400毫安,NULL,NULL,FHD，LED背光，IPS广角屏,Intel 3165 AC,内置双扬声器,1920x1080,2017年04月,NULL,NULL,NULL,家用,2×USB2.0+2×USB3.0，1×USB3.1 Type-C接口,NULL,NULL,安全锁孔,400-699-9999,7*24小时,NULL,100V-240V 150W 自适应交流电源适配器,整机免费保修1年，主要部分保修2年,内置音效芯片,无内置光驱,NULL,NULL,1000Mbps以太网卡,NULL,NULL,游戏本，影音娱乐本,DOS,NULL,1年,银色,NULL,NULL,触摸板,全国联保，享受三包服务,笔记本主机 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1至用户一封信 x1,NULL,附带软件,NULL,4合1读卡器（MMC，SD，SDHC，SDXC）,16:9,耳机输出接口，麦克风输入接口,NULL,支持，蓝牙4.0模块,NULL,NULL,内置麦克风,NULL,NULL,NULL,集成100万像素摄像头,NULL,机械师笔记本实行全国范围内联保。无论您在中华人民共和国境内（不包含港、澳、台地区）任何地方购买并使用本产品出现保修范围内的硬件故障时，请咨询机械师全国统一服务热线均可凭本产品的保修凭证、购机发票，获得就近的机械师笔记本授权服务商的维修服务。机械师笔记本电脑全线产品采用送修的服务方式。如用户需要提供上门服务，则需按照《机械师电脑有偿服务收费标准》向机械师电脑授权服务商支付相应的交通费用。进入官网>>,15.6英寸,NULL,32GB,视具体使用环境而定,HDMI,双风扇散热，A/C发光logo，定制开机键，A面3D立体成型金属,NULL,NULL,不支持触控,NULL,蓝色背光键盘，全尺寸键盘,RJ45（网络接口），电源接口
机械师F117-F2K,F117-F系列,http://detail.zol.com.cn/notebook/index1176537.shtml,https://2c.zol-img.com.cn/product/184_80x60/8/cehIrwCyffux.jpg,6999,正常,8896,Intel 酷睿i7 7700HQ,英特尔 酷睿i7 7代系列,2.8GHz,3.8GHz,四核心/八线程,6MB,NULL,Kaby Lake,14nm,45W,8GB（8GB×1）,DDR4 2400MHz,2xSO-DIMM,1TB,HDD,5816,性能级独立显卡,NVIDIA GeForce GTX 1050 Ti,4GB,GDDR5,128bit,复合材质,NULL,NULL,6芯锂电池，4400毫安,NULL,NULL,FHD，LED背光，IPS广角屏,Intel 3165 AC,内置双扬声器,1920x1080,2017年04月,NULL,NULL,NULL,家用,2×USB2.0+2×USB3.0，1×USB3.0 Type-C接口,NULL,NULL,安全锁孔,400-699-9999,7*24小时,NULL,100V-240V 150W 自适应交流电源适配器,整机免费保修1年，主要部分保修2年,内置音效芯片,无内置光驱,NULL,NULL,1000Mbps以太网卡,NULL,NULL,游戏本，影音娱乐本,DOS,NULL,1年,银色,NULL,NULL,触摸板,全国联保，享受三包服务,笔记本主机 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1至用户一封信 x1,NULL,附带软件,NULL,4合1读卡器（MMC，SD，SDHC，SDXC）,16:9,耳机输出接口，麦克风输入接口,NULL,支持，蓝牙4.0模块,NULL,NULL,内置麦克风,NULL,NULL,NULL,集成100万像素摄像头,NULL,机械师笔记本实行全国范围内联保。无论您在中华人民共和国境内（不包含港、澳、台地区）任何地方购买并使用本产品出现保修范围内的硬件故障时，请咨询机械师全国统一服务热线均可凭本产品的保修凭证、购机发票，获得就近的机械师笔记本授权服务商的维修服务。机械师笔记本电脑全线产品采用送修的服务方式。如用户需要提供上门服务，则需按照《机械师电脑有偿服务收费标准》向机械师电脑授权服务商支付相应的交通费用。进入官网>>,15.6英寸,NULL,32GB,视具体使用环境而定,HDMI,双风扇散热，A/C发光logo，定制开机键，A面3D立体成型金属,NULL,NULL,不支持触控,NULL,全尺寸RGB背光键盘,RJ45（网络接口），电源接口
机械师F117-F3K,F117-F系列,http://detail.zol.com.cn/notebook/index1205376.shtml,https://2f.zol-img.com.cn/product/188_80x60/195/ceyy6g6cRixKw.jpg,7299,正常,8896,Intel 酷睿i7 7700HQ,英特尔 酷睿i7 7代系列,2.8GHz,3.8GHz,四核心/八线程,6MB,NULL,Kaby Lake,14nm,45W,8GB（8GB×1）,DDR4 2400MHz,2xSO-DIMM,128GB+1TB,混合硬盘（SSD+HDD）,5816,性能级独立显卡,NVIDIA GeForce GTX 1050 Ti,4GB,GDDR5,128bit,镁铝合金,NULL,NULL,6芯锂电池，4400毫安,NULL,32.7mm,FHD，LED背光，IPS广角屏,Intel 3165 AC,内置双扬声器,1920x1080,2017年12月,267.3mm,NULL,NULL,家用,2×USB2.0+2×USB3.0，1×USB3.0 Type-C接口,387mm,2.85Kg,安全锁孔,400-699-9999,7*24小时,NULL,100V-240V 150W 自适应交流电源适配器,整机免费保修1年，主要部分保修2年,内置音效芯片,无内置光驱,NULL,NULL,1000Mbps以太网卡,NULL,NULL,游戏本，影音娱乐本,预装Windows 10,NULL,1年,银色,NULL,NULL,触摸板,全国联保，享受三包服务,笔记本主机 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1至用户一封信 x1,NULL,附带软件,NULL,4合1读卡器（MMC，SD，SDHC，SDXC）,16:9,耳机输出接口，麦克风输入接口,NULL,支持，蓝牙4.0模块,NULL,NULL,内置麦克风,NULL,NULL,NULL,集成100万像素摄像头,NULL,机械师笔记本实行全国范围内联保。无论您在中华人民共和国境内（不包含港、澳、台地区）任何地方购买并使用本产品出现保修范围内的硬件故障时，请咨询机械师全国统一服务热线均可凭本产品的保修凭证、购机发票，获得就近的机械师笔记本授权服务商的维修服务。机械师笔记本电脑全线产品采用送修的服务方式。如用户需要提供上门服务，则需按照《机械师电脑有偿服务收费标准》向机械师电脑授权服务商支付相应的交通费用。进入官网>>,15.6英寸,NULL,32GB,视具体使用环境而定,HDMI,双风扇散热，A/C发光logo，定制开机键，A面3D立体成型金属,NULL,NULL,不支持触控,NULL,全尺寸RGB背光键盘,RJ45（网络接口），电源接口
机械师PX780-D1,PX780系列,http://detail.zol.com.cn/notebook/index1140123.shtml,https://2b.zol-img.com.cn/product/171_80x60/73/ceVMI5ssotlEE.jpg,1.3万,正常,11110,Intel 酷睿i7 6700K,英特尔 酷睿i7 6代系列,4GHz,4.2GHz,四核心/八线程,8MB,DMI 8 GT/s,Skylake,14nm,91W,16GB（16GB×1）,DDR4 2133MHz,4xSO-DIMM,256GB+1TB,混合硬盘（2×128GB SSD+5400转HDD）,5787,发烧级独立显卡,NVIDIA GeForce GTX 980M,8GB,GDDR5,256bit,复合材质,NULL,NULL,8芯锂电池，4400毫安,NULL,16-38.9mm,FHD，LED背光，TN雾面屏,Killer 1535 AC，支持802.11ac无线协议，支持双频（2.4GHz+5GHz）,内置双扬声器，低音炮,1920x1080,2016年03月,282mm,NULL,NULL,家用,1×USB3.1+4×USB3.0（其中一个e-SATA共用接口）,418mm,3.9Kg,安全锁孔,400-699-9999,7*24小时,NULL,100V-240V 230W 自适应交流电源适配器,整机免费保修1年，主要部分保修2年,内置音效芯片,无内置光驱,NULL,NULL,1000Mbps以太网卡,Intel Z170,NULL,游戏本，影音娱乐本,DOS,NULL,1年,黑色,NULL,NULL,触摸板,全国联保，享受三包服务,笔记本主机 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1驱动光盘 x1金属logo x1,NULL,附带软件,NULL,6合1读卡器,16:9,耳机输出接口，麦克风输入接口，S/PDIF数字接口,NULL,支持，蓝牙4.0模块,NULL,NULL,抗噪麦克风,NULL,NULL,NULL,集成200万像素摄像头,NULL,机械师笔记本实行全国范围内联保。无论您在中华人民共和国境内（不包含港、澳、台地区）任何地方购买并使用本产品出现保修范围内的硬件故障时，请咨询机械师全国统一服务热线均可凭本产品的保修凭证、购机发票，获得就近的机械师笔记本授权服务商的维修服务。机械师笔记本电脑全线产品采用送修的服务方式。如用户需要提供上门服务，则需按照《机械师电脑有偿服务收费标准》向机械师电脑授权服务商支付相应的交通费用。进入官网>>,17.3英寸,NULL,64GB,2小时，视具体使用环境而定,VGA，HDMI，2×DisplayPort,双风扇7铜管智能散热，Gaming七彩背光键盘，支持G-SYNC技术,NULL,NULL,不支持触控,NULL,七彩背光键盘，全尺寸键盘,RJ45（网络接口），电源接口
机械师PX780-T6K,PX780系列,http://detail.zol.com.cn/notebook/index1186577.shtml,https://2f.zol-img.com.cn/product/187_80x60/709/ceyYyjC5I2VkY.png,2万,正常,12082,Intel 酷睿i7 7700K,英特尔 酷睿i7 7代系列,4.2GHz,4.5GHz,四核心/八线程,8MB,DMI 8 GT/s,Kaby Lake,14nm,91W,16GB,DDR4 2400MHz,4xSO-DIMM,512GB,SSD固态硬盘,12158,发烧级独立显卡,NVIDIA GeForce GTX 1080,8GB,GDDR5X,256bit,复合材质,NULL,NULL,8芯锂电池,NULL,40.9mm,FHD，LED背光，IPS广角屏，72%色域,Killer 1535 AC，支持802.11ac无线协议，支持双频（2.4GHz+5GHz）,内置双扬声器，低音炮,1920x1080,2017年10月,295.3mm,NULL,NULL,家用,4×USB3.0，2×USB3.1 Type-C接口,418mm,4Kg,安全锁孔,400-699-9999,7*24小时,NULL,100V-240V 330W 自适应交流电源适配器,整机免费保修1年，主要部分保修2年,内置音效芯片,无内置光驱,NULL,NULL,1000Mbps以太网卡,Intel Z170,NULL,游戏本，影音娱乐本,DOS,NULL,1年,黑色,NULL,NULL,触摸板,全国联保，享受三包服务,笔记本主机 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1驱动光盘 x1金属logo x1,NULL,附带软件,NULL,6合1读卡器,16:9,耳机输出接口，麦克风输入接口，S/PDIF数字接口,NULL,支持，蓝牙4.0模块,NULL,NULL,阵列式麦克风,NULL,NULL,NULL,集成200万像素摄像头,NULL,机械师笔记本实行全国范围内联保。无论您在中华人民共和国境内（不包含港、澳、台地区）任何地方购买并使用本产品出现保修范围内的硬件故障时，请咨询机械师全国统一服务热线均可凭本产品的保修凭证、购机发票，获得就近的机械师笔记本授权服务商的维修服务。机械师笔记本电脑全线产品采用送修的服务方式。如用户需要提供上门服务，则需按照《机械师电脑有偿服务收费标准》向机械师电脑授权服务商支付相应的交通费用。进入官网>>,17.3英寸,NULL,64GB,视具体使用环境而定,HDMI，2×DisplayPort,双风扇五铜管智能散热,NULL,NULL,不支持触控,NULL,全尺寸七彩背光X-StructureTM专业游戏键盘,RJ45（网络接口），电源接口
机械师PX780-T1,PX780系列,http://detail.zol.com.cn/notebook/index1155587.shtml,https://2d.zol-img.com.cn/product/176_80x60/21/ce0XRqavtjv3.jpg,1.5万,正常,11110,Intel 酷睿i7 6700K,英特尔 酷睿i7 6代系列,4GHz,4.2GHz,四核心/八线程,8MB,DMI 8 GT/s,Skylake,14nm,91W,16GB（16GB×1）,DDR4 2133MHz,4xSO-DIMM,240GB+1TB,混合硬盘（SSD+5400转HDD）,11065,发烧级独立显卡,NVIDIA GeForce GTX 1070,8GB,GDDR5,256bit,复合材质,NULL,NULL,锂电池,NULL,38.9mm,FHD，LED背光，TN雾面屏,Killer 1535 AC，支持802.11ac无线协议，支持双频（2.4GHz+5GHz）,内置双扬声器，低音炮,1920x1080,2016年09月,282mm,NULL,NULL,家用,1×USB2.0+4×USB3.0，2×USB3.1 Type-C接口,418mm,3.9Kg,安全锁孔,400-699-9999,7*24小时,NULL,100V-240V 自适应交流电源适配器,整机免费保修1年，主要部分保修2年,内置音效芯片,无内置光驱,NULL,NULL,1000Mbps以太网卡,Intel Z170,NULL,游戏本，影音娱乐本,DOS,NULL,1年,黑色,NULL,NULL,触摸板,全国联保，享受三包服务,笔记本主机 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1驱动光盘 x1金属logo x1,NULL,附带软件,NULL,读卡器,16:9,耳机输出接口，麦克风输入接口,NULL,支持，蓝牙4.0模块,NULL,NULL,抗噪麦克风,NULL,NULL,NULL,1080p HD摄像头,NULL,机械师笔记本实行全国范围内联保。无论您在中华人民共和国境内（不包含港、澳、台地区）任何地方购买并使用本产品出现保修范围内的硬件故障时，请咨询机械师全国统一服务热线均可凭本产品的保修凭证、购机发票，获得就近的机械师笔记本授权服务商的维修服务。机械师笔记本电脑全线产品采用送修的服务方式。如用户需要提供上门服务，则需按照《机械师电脑有偿服务收费标准》向机械师电脑授权服务商支付相应的交通费用。进入官网>>,17.3英寸,NULL,64GB,2小时，视具体使用环境而定,HDMI，2×Mini DisplayPort,双风扇7铜管智能散热，Gaming七彩背光键盘，支持G-SYNC技术,NULL,NULL,不支持触控,NULL,七彩背光键盘，全尺寸键盘,RJ45（网络接口），电源接口
机械师PX780-C1,PX780系列,http://detail.zol.com.cn/notebook/index1141933.shtml,https://2c.zol-img.com.cn/product/171_80x60/468/ceollJANA6RHQ.jpg,1.3万,正常,11110,Intel 酷睿i7 6700K,英特尔 酷睿i7 6代系列,4GHz,4.2GHz,四核心/八线程,8MB,DMI 8 GT/s,Skylake,14nm,91W,8GB（8GB×1）,DDR4 2133MHz,4xSO-DIMM,1TB,5400转,3963,发烧级独立显卡,NVIDIA GeForce GTX 970M,6GB,GDDR5,192bit,复合材质,NULL,NULL,6芯锂电池,NULL,16-38.9mm,FHD，TN雾面屏,Killer 1535 AC，支持802.11ac无线协议，支持双频（2.4GHz+5GHz）,内置双扬声器，低音炮,1920x1080,2016年03月,282mm,NULL,NULL,家用,1×USB3.1+4×USB3.0（其中一个e-SATA共用接口）,418mm,3.9Kg,安全锁孔,400-699-9999,7*24小时,NULL,100V-240V 230W 自适应交流电源适配器,整机免费保修1年，主要部分保修2年,内置音效芯片,无内置光驱,NULL,NULL,1000Mbps以太网卡,Intel Z170,NULL,游戏本，影音娱乐本,DOS,NULL,1年,黑色,NULL,NULL,触摸板,全国联保，享受三包服务,笔记本主机 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1驱动光盘 x1金属logo x1,NULL,附带软件,NULL,6合1读卡器,16:9,耳机输出接口，麦克风输入接口，S/PDIF数字接口,NULL,支持，蓝牙4.0模块,NULL,NULL,抗噪麦克风,NULL,NULL,NULL,集成200万像素摄像头,NULL,机械师笔记本实行全国范围内联保。无论您在中华人民共和国境内（不包含港、澳、台地区）任何地方购买并使用本产品出现保修范围内的硬件故障时，请咨询机械师全国统一服务热线均可凭本产品的保修凭证、购机发票，获得就近的机械师笔记本授权服务商的维修服务。机械师笔记本电脑全线产品采用送修的服务方式。如用户需要提供上门服务，则需按照《机械师电脑有偿服务收费标准》向机械师电脑授权服务商支付相应的交通费用。进入官网>>,17.3英寸,NULL,64GB,2-4小时，视具体使用环境而定,VGA，HDMI，2×DisplayPort,双风扇7铜管智能散热，Gaming七彩背光键盘,NULL,NULL,不支持触控,NULL,七彩背光键盘，全尺寸键盘,RJ45（网络接口），电源接口
